Order,Species,Phylo,SexDiff,Season,Inc,Study
Accipitriformes,BlackKite,Milvus_migrans,1,0,0,Potier et al. 2018
Accipitriformes,BlackKite,Milvus_migrans,0,1,0,Potier et al. 2018
Anseriformes,FalklandSteamerDuck,Tachyeres_brachypterus,1,1,0,Livezey et al. 1986
Anseriformes,Mallard,Anas_platyrhynchos,1,1,0,Jacob et al. 1979
Bucerotiformes,Hoopoe,Upupa_epops,1,1,0,Martin-Vivaldi et al. 2009
Charadriiformes,AsianDowitcher,Limnodromus_semipalmatus,0,0,1,Reneerkens et al. 2002
Charadriiformes,AsianDowitcher,Limnodromus_semipalmatus,0,1,1,Reneerkens et al. 2002
Charadriiformes,BlackleggedKittiwake,Rissa_tridactyla,1,1,1,Leclaire et al. 2011
Charadriiformes,BlacktailedGodwit,Limosa_limosa,0,1,1,Reneerkens et al. 2002
Charadriiformes,BuffbreastedSandpiper,Tryngites_subruficollis,1,1,0,Reneerkens et al. 2007a
Charadriiformes,BuffbreastedSandpiper,Tryngites_subruficollis,0,0,0,Reneerkens et al. 2007a
Charadriiformes,CommonRedshank,Tringa_totanus,0,0,1,Reneerkens et al. 2002
Charadriiformes,CommonRedshank,Tringa_totanus,0,1,1,Reneerkens et al. 2002
Charadriiformes,CurlewSandpiper,Calidris_ferruginea,0,0,0,Reneerkens et al. 2002
Charadriiformes,CurlewSandpiper,Calidris_ferruginea,1,1,0,Reneerkens et al. 2002
Charadriiformes,Dunlin,Calidris_alpina,0,0,1,Reneerkens et al. 2002
Charadriiformes,Dunlin,Calidris_alpina,0,1,1,Reneerkens et al. 2002
Charadriiformes,HerringGull,Larus_argentatus,1,1,1,Fischer et al. 2017
Charadriiformes,HerringGull,Larus_argentatus,0,0,1,Fischer et al. 2017
Charadriiformes,HerringGull,Larus_argentatus,0,0,1,Fischer et al. 2020
Charadriiformes,LittleStint,Calidris_minuta,0,0,1,Reneerkens et al. 2002
Charadriiformes,LittleStint,Calidris_minuta,0,1,1,Reneerkens et al. 2002
Charadriiformes,RedKnot,Calidris_canutus,0,0,1,Reneerkens et al. 2007b
Charadriiformes,RedKnot,Calidris_canutus,0,1,1,Reneerkens et al. 2007b
Charadriiformes,RedPhalarope,Phalaropus_fulicarius,1,1,0,Reneerkens et al. 2007a
Charadriiformes,RuddyTurnstone,Arenaria_interpres,0,1,1,Reneerkens et al. 2002
Charadriiformes,RuddyTurnstone,Arenaria_interpres,0,0,1,Reneerkens et al. 2002
Charadriiformes,Ruff,Philomachus_pugnax,0,0,0,Reneerkens et al. 2002
Charadriiformes,Ruff,Philomachus_pugnax,1,1,0,Reneerkens et al. 2002
Charadriiformes,ShortbilledDowitcher,Limnodromus_griseus,0,1,1,Reneerkens et al. 2002
Charadriiformes,TemmincksStint,Calidris_temminckii,0,1,1,Reneerkens et al. 2007a
Charadriiformes,WesternSandpiper,Calidris_mauri,0,1,1,Reneerkens et al. 2002
Columbiformes,FeralPigeon,Columba_livia,0,0,1,Montalti et al. 2005
Passeriforme,GreyGerigone,Gerygone_igata,1,1,0,Rasmussen 2013 (PhD thesis)
Passeriformes,NewZealandBellbird,Anthornis_melanura,1,1,0,Rasmussen 2013 (PhD thesis)
Passeriformes,NewZealandFantail,Rhipidura_fuliginosa,0,1,1,Rasmussen 2013 (PhD thesis)
Passeriformes,Pipipi,Mohoua_novaeseelandiae,1,1,0,Rasmussen 2013 (PhD thesis)
Passeriformes,Rifleman,Acanthisitta_chloris,0,1,1,Rasmussen 2013 (PhD thesis)
Passeriformes,Silvereye,Zosterops_lateralis,1,1,1,Rasmussen 2013 (PhD thesis)
Passeriformes,SouthIslandRobin,Petroica_australis,1,1,0,Rasmussen 2013 (PhD thesis)
Passeriformes,BengaleseFinch,Lonchura_striata,1,1,1,Zhang et al. 2009
Passeriformes,BlackcappedChickadee,Parus_atricapillus,1,0,0,Van Huynh et al. 2019
Passeriformes,BlackcappedChickadee,Parus_atricapillus,1,1,0,Van Huynh et al. 2019
Passeriformes,BohemianWaxwing,Bombycilla_garrulus,0,0,0,Zhang et al. 2013
Passeriformes,CarolinaChickadee,Parus_carolinensis,0,0,0,Van Huynh et al. 2019
Passeriformes,CarolinaChickadee,Parus_carolinensis,1,1,0,Van Huynh et al. 2019
Passeriformes,DarkeyedJunco,Junco_hyemalis,0,0,0,Soini et al. 2007
Passeriformes,DarkeyedJunco,Junco_hyemalis,1,1,0,Soini et al. 2007
Passeriformes,DarkeyedJunco,Junco_hyemalis,1,1,0,Whittaker et al. 2010
Passeriformes,DarkeyedJunco,Junco_hyemalis,1,1,0,Whittaker et al. 2011
Passeriformes,DarkeyedJunco,Junco_hyemalis,0,1,0,Whittaker et al. 2016
Passeriformes,DarkeyedJunco,Junco_hyemalis,0,1,0,Whittaker et al. 2018
Passeriformes,EurasianBlackbird,Turdus_merula,1,1,0,Díez-Fernández 2021
Passeriformes,GrayCatbird,Dumetella_carolinensis,0,0,0,Whelan et al. 2010
Passeriformes,GreatTit,Parus_major,1,1,0,Jacob et al. 2014
Passeriformes,JapaneseWaxwing,Bombycilla_japonica,0,0,0,Zhang et al. 2013
Passeriformes,LancetailedManakin,Chiroxiphia_lanceolata,1,1,0,Whittaker et al. 2019
Passeriformes,Silvereye,Zosterops_lateralis,0,1,1,Azzani et al. 2016
Passeriformes,SongSparrow,Melospiza_melodia,0,0,0,Grieves et al. 2018
Passeriformes,SongSparrow,Melospiza_melodia,1,1,0,Grieves et al. 2019a
Passeriformes,SongSparrow,Melospiza_melodia,1,1,0,Grieves et al. 2019c
Passeriformes,SongSparrow,Melospiza_melodia,0,0,0,Grieves et al. 2019c
Passeriformes,SpotlessStarling,Sturnus_unicolor,1,1,0,Amo et al. 2012
Passeriformes,WhitethroatedSparrow,Zonotrichia_albicollis,1,1,1,Tuttle et al. 2014
Passeriformes,WhitethroatedSparrow,Zonotrichia_albicollis,1,1,1,Forrette et al. 2018
Phoenicopteriformes,GreaterFlamingo,Phoenicopterus_roseus,1,1,1,Amat et al. 2018
Procellariiformes,AntarcticPrion,Pachyptila_desolata,1,1,1,Bonadonna et al. 2007
Procellariiformes,AntarcticPrion,Pachyptila_desolata,1,1,1,Mardon et al. 2010
Procellariiformes,BluePetrel,Halobaena_caerulea,1,1,1,Mardon et al. 2010
Procellariiformes,CorysShearwater,Calonectris_diomedea,0,1,1,Gabirot et al. 2016
Procellariiformes,LeachsStormPetrel,Oceanodroma_leucorhoa,0,1,1,Jennings et al. 2020
Psittaciformes,Budgerigar,Melopsittacus_undulatus,1,1,0,Zhang et al. 2010
Psittaciformes,CrimsonRosella,Platycercus_elegans,1,1,1,Mihailova 2014 (PhD thesis)
Psittaciformes,CrimsonRosella,Platycercus_elegans,1,0,1,Mihailova 2014 (PhD thesis)
Sphenisciformes,KingPenguin,Aptenodytes_patagonicus,0,1,1,Gabirot et al. 2018
